Blue,Green,Yellow,Red,Orange
620,848,1120,1520,591
613,851,1124,1521,594
614,860,1122,1514,592
621,843,1117,1519,592
620,848,1123,1520,590
621,853,1116,1525,590
618,853,1120,1525,589
618,850,1116,1522,588
616,853,1119,1520,587
620,852,1115,1517,591
613,854,1117,1513,590
620,858,1124,1527,590
618,853,1117,1523,595
619,855,1114,1521,587
621,850,1122,1515,593
619,853,1121,1516,590
618,851,1124,1516,589
623,852,1118,1518,590
618,853,1120,1517,585
622,865,1118,1519,588
621,850,1115,1516,593
619,851,1116,1526,588
618,855,1120,1521,587
622,856,1116,1520,585
617,845,1109,1525,588
615,850,1113,1518,590
615,847,1115,1514,595
620,853,1113,1516,588
615,851,1117,1524,585
617,848,1116,1519,588
615,860,1121,1524,589
619,847,1114,1529,589
614,848,1118,1514,588
619,855,1121,1521,592
613,848,1118,1518,591
617,853,1119,1518,587
620,849,1115,1523,591
615,853,1114,1522,591
613,854,1109,1509,587
618,858,1114,1507,590
615,851,1122,1519,591
618,845,1116,1516,593
617,841,1119,1513,583
618,849,1117,1526,589
613,846,1115,1521,589
620,848,1108,1514,589
617,844,1114,1513,592
612,840,1115,1507,589
616,847,1122,1514,591
611,846,1120,1516,587
618,850,1117,1522,587
620,850,1120,1516,587
625,846,1118,1518,587
616,849,1109,1510,585
614,849,1116,1527,587
618,843,1110,1513,590
626,846,1113,1513,589
621,850,1107,1510,590
616,847,1107,1513,592
613,843,1108,1518,592
620,843,1107,1518,586
617,844,1119,1518,586
610,854,1114,1510,584
618,845,1108,1514,586
617,851,1116,1517,585
617,850,1117,1512,589
609,845,1107,1514,585
611,846,1117,1505,588
619,848,1109,1510,587
617,838,1108,1515,593
611,847,1112,1509,589
616,845,1115,1507,592
610,840,1112,1505,587
614,846,1104,1502,588
616,846,1110,1511,590
620,851,1117,1519,586
622,852,1110,1521,581
614,853,1123,1518,592
615,845,1117,1503,590
620,849,1118,1505,591
616,847,1109,1503,592
613,842,1110,1505,595
615,842,1116,1508,583
617,850,1106,1518,585
611,842,1109,1511,586
614,852,1109,1500,588
618,841,1113,1512,588
616,846,1108,1513,590
608,848,1113,1506,589
613,848,1109,1508,589
614,842,1100,1511,583
608,845,1109,1505,594
613,847,1112,1503,589
614,840,1109,1498,588
613,854,1113,1505,589
618,848,1114,1512,589
619,837,1104,1511,592
609,844,1100,1501,584
611,846,1103,1511,590
615,845,1114,1503,586
614,844,1116,1510,590
608,840,1109,1510,586
616,844,1108,1508,586
616,843,1110,1507,587
620,839,1120,1508,587
611,845,1109,1515,586
608,844,1108,1509,590
616,846,1105,1511,588
618,841,1110,1513,589
619,841,1106,1510,588
608,838,1108,1504,584
611,846,1110,1499,590
615,833,1108,1506,588
611,835,1106,1504,585
610,841,1111,1504,589
609,841,1108,1514,592
614,843,1104,1505,588
612,844,1104,1509,589
614,841,1105,1501,586
606,843,1100,1509,590
612,844,1106,1500,588
615,843,1108,1509,591
615,835,1113,1498,584
612,839,1101,1503,588
613,841,1107,1510,588
611,838,1106,1497,586
613,839,1103,1506,583
617,841,1102,1509,580
614,841,1105,1505,589
613,837,1094,1508,587
611,841,1109,1495,589
613,844,1105,1504,584
613,847,1105,1501,591
614,844,1113,1499,587
609,843,1102,1498,583
611,850,1109,1503,585
616,844,1106,1501,590
611,841,1099,1503,586
612,845,1105,1497,589
612,840,1102,1504,588
614,847,1107,1500,588
616,836,1104,1499,582
613,843,1108,1500,585
611,838,1099,1510,586
608,836,1096,1495,583
616,836,1111,1501,586
609,836,1103,1505,584
612,835,1106,1496,585
614,840,1110,1501,587
616,842,1098,1501,582
610,844,1103,1502,588
611,844,1097,1500,587
609,838,1103,1495,584
608,836,1099,1497,585
606,839,1099,1505,585
609,846,1095,1507,585
610,831,1103,1493,588
617,832,1093,1500,586
611,829,1100,1500,583
614,840,1102,1495,585
611,843,1101,1495,585
606,841,1107,1505,590
611,841,1099,1501,587
611,838,1105,1500,582
609,839,1102,1499,588
615,842,1100,1492,585
606,831,1103,1488,586
608,840,1094,1492,581
610,840,1104,1495,590
613,840,1103,1499,583
612,843,1101,1502,589
611,839,1099,1494,586
615,839,1103,1493,586
611,836,1102,1493,587
613,837,1097,1491,585
609,839,1099,1495,586
612,836,1112,1495,586
612,836,1106,1498,583
607,847,1100,1495,583
608,836,1101,1491,584
603,835,1094,1494,585
608,831,1101,1497,588
612,840,1100,1493,585
612,838,1098,1495,583
607,837,1095,1506,583
604,834,1098,1490,590
609,838,1093,1500,582
609,830,1101,1492,586
608,836,1101,1493,582
608,838,1101,1500,584
608,841,1103,1492,589
612,837,1094,1490,581
605,839,1095,1495,589
605,827,1095,1497,585
607,833,1097,1494,581
609,833,1090,1494,583
611,834,1099,1485,589
606,835,1096,1495,583
609,839,1100,1493,585
606,832,1097,1495,585
609,829,1100,1488,592
609,829,1091,1488,586
604,840,1095,1489,586
607,834,1101,1489,587
609,829,1098,1502,586
605,831,1089,1488,583
612,831,1096,1488,586
609,832,1095,1486,582
604,842,1101,1492,592
607,831,1101,1497,587
611,834,1094,1490,578
605,827,1100,1483,581
605,829,1089,1489,586
608,829,1091,1479,578
614,832,1092,1486,586
606,830,1100,1491,584
606,831,1094,1487,583
607,834,1099,1485,584
606,823,1090,1485,587
608,833,1091,1489,585
603,831,1089,1484,582
610,839,1101,1480,584
605,835,1090,1493,583
607,826,1095,1490,584
608,828,1095,1492,584
608,829,1094,1484,579
606,834,1093,1483,581
614,826,1084,1487,583
609,834,1095,1489,588
606,831,1089,1489,584
604,841,1088,1481,581
608,834,1095,1491,588
610,824,1100,1493,584
608,832,1089,1486,591
608,833,1097,1490,585
609,831,1093,1490,582
612,831,1095,1491,583
607,825,1085,1481,582
609,832,1090,1485,584
611,837,1091,1483,584
605,825,1090,1484,584
613,829,1095,1481,583
606,833,1099,1486,581
609,831,1091,1483,589
604,829,1094,1483,576
606,827,1094,1489,581
607,832,1083,1486,581
612,826,1096,1480,585
605,836,1090,1483,584
604,832,1081,1486,581
611,836,1088,1483,584
608,832,1091,1476,581
608,828,1087,1478,583
612,826,1091,1476,581
608,826,1093,1483,587
602,829,1088,1484,581
607,826,1085,1485,584
609,829,1091,1486,583
609,830,1087,1483,581
604,823,1087,1475,580
610,827,1090,1488,582
608,831,1092,1481,580
605,829,1098,1483,584
603,832,1084,1480,588
605,818,1086,1466,581
605,826,1087,1478,581
604,833,1088,1480,583
608,831,1092,1487,585
606,823,1082,1481,579
606,830,1085,1473,585
607,826,1087,1484,581
606,825,1087,1487,585
601,830,1090,1483,578
609,825,1078,1478,579
608,825,1083,1491,584
607,823,1090,1478,586
608,823,1095,1478,585
607,825,1088,1484,581
602,831,1084,1478,585
606,820,1085,1472,581
603,828,1095,1476,584
609,828,1083,1490,582
605,822,1087,1471,581
610,831,1085,1489,584
600,823,1082,1479,585
608,825,1090,1483,581
606,832,1084,1483,581
610,829,1082,1468,582
604,825,1089,1478,583
606,829,1091,1474,582
600,824,1087,1469,588
605,820,1085,1482,578
604,822,1091,1484,585
609,823,1087,1477,574
605,831,1095,1470,583
606,828,1074,1480,583
604,829,1093,1481,581
607,830,1089,1480,587
606,831,1090,1485,581
604,830,1084,1473,584
606,825,1095,1485,580
606,830,1087,1481,579
603,828,1094,1481,585
605,826,1082,1480,584
608,826,1083,1475,580
604,825,1083,1470,581
608,828,1094,1481,584
596,823,1085,1471,576
605,828,1081,1470,575
609,823,1089,1481,580
612,827,1085,1475,582
604,826,1082,1482,585
604,823,1079,1470,578
602,815,1082,1476,580
604,824,1088,1469,583
600,821,1089,1477,579
604,823,1082,1478,585
600,818,1081,1470,580
605,826,1076,1477,581
603,829,1078,1474,579
605,823,1080,1479,578
611,821,1076,1476,582
605,824,1080,1479,577
604,831,1077,1477,576
606,829,1083,1477,579
610,826,1077,1476,585
603,826,1082,1474,583
605,822,1085,1476,577
599,820,1081,1475,583
601,825,1086,1466,579
605,826,1074,1467,581
603,817,1076,1478,583
605,819,1079,1470,583
605,828,1080,1474,582
604,819,1083,1470,579
601,829,1078,1472,581
601,826,1079,1479,581
603,824,1083,1482,585
600,820,1079,1464,574
603,822,1083,1476,579
601,825,1086,1475,585
607,825,1076,1473,572
596,818,1079,1471,579
598,823,1083,1472,584
603,824,1078,1472,583
602,823,1079,1473,580
601,823,1074,1474,583
606,827,1080,1471,579
601,822,1082,1476,578
600,825,1078,1482,580
600,825,1084,1476,581
601,827,1077,1462,579
603,818,1080,1468,583
604,830,1085,1468,578
598,824,1074,1475,583
603,820,1092,1483,580
601,829,1081,1471,581
600,820,1087,1475,580
603,826,1079,1478,583
602,825,1084,1466,577
601,819,1080,1468,585
602,817,1079,1471,576
600,831,1077,1469,576
602,833,1082,1475,581
602,819,1086,1467,581
607,825,1092,1472,581
602,818,1080,1465,580
600,823,1081,1470,581
600,824,1085,1468,584
603,823,1083,1470,575
600,827,1081,1473,583
607,821,1086,1468,576
598,819,1077,1464,577
600,822,1078,1473,581
601,826,1075,1471,578
609,823,1079,1473,580
606,820,1088,1466,580
603,826,1082,1469,577
600,827,1084,1477,580
602,821,1082,1471,580
604,819,1080,1471,577
596,823,1075,1473,583
602,827,1070,1469,578
600,818,1079,1467,578
596,818,1081,1476,580
607,814,1081,1471,579
601,826,1076,1468,576
599,823,1082,1478,583
608,821,1078,1472,579
598,821,1074,1461,578
605,817,1078,1467,578
598,816,1075,1476,577
605,823,1082,1470,576
604,816,1075,1466,575
598,818,1082,1470,577
600,833,1081,1476,578
600,820,1082,1470,577
598,822,1082,1476,580
605,822,1081,1461,580
604,820,1073,1468,578
602,820,1083,1460,579
604,819,1079,1473,590
600,815,1077,1463,578
