Blue,Green,Yellow,Red,Orange
453,549,788,1093,531
454,556,783,1084,524
457,555,772,1084,528
459,551,769,1080,526
457,558,774,1074,531
455,555,769,1079,525
455,554,765,1068,523
452,555,767,1071,529
449,548,764,1065,528
451,549,768,1066,523
454,546,764,1064,527
451,552,765,1063,526
449,550,762,1077,532
452,550,762,1074,523
453,549,761,1058,520
463,547,763,1056,528
453,552,763,1064,529
448,552,763,1061,527
455,551,755,1057,529
459,550,756,1065,521
453,554,760,1058,526
451,552,759,1054,525
451,550,762,1066,524
449,548,756,1056,529
455,548,761,1052,525
454,540,762,1053,523
449,548,761,1055,529
450,549,756,1058,527
453,545,760,1058,524
455,552,759,1061,527
454,551,756,1055,527
450,551,760,1058,524
454,550,762,1054,524
453,552,767,1056,529
448,552,752,1056,527
447,550,754,1050,523
448,554,756,1055,525
452,546,759,1050,526
453,550,756,1048,528
452,556,757,1053,528
452,553,756,1050,522
453,549,756,1054,527
455,548,760,1048,527
455,552,753,1050,525
450,555,751,1044,525
450,544,751,1040,524
455,552,759,1048,523
450,553,750,1046,527
455,549,757,1047,527
454,547,759,1055,525
453,546,753,1030,518
451,547,756,1050,526
449,545,748,1044,524
450,543,758,1051,527
451,545,748,1048,523
452,541,751,1043,530
449,547,757,1046,529
448,545,759,1035,522
452,545,751,1046,521
449,550,757,1042,525
450,546,750,1047,526
448,547,748,1036,519
449,545,752,1038,522
450,547,751,1034,524
449,543,752,1043,524
448,544,748,1036,527
446,547,746,1040,518
448,547,750,1028,526
449,544,734,1033,516
449,542,749,1037,523
452,545,751,1037,527
444,545,747,1042,523
448,542,747,1044,521
450,541,748,1038,524
439,542,745,1039,521
446,544,745,1038,525
447,545,742,1042,521
452,542,745,1038,525
446,541,751,1034,522
449,543,746,1031,527
446,545,752,1033,524
446,551,749,1043,524
451,544,742,1032,522
452,543,749,1033,524
447,544,746,1029,518
446,544,746,1033,524
449,540,748,1034,525
448,547,744,1034,522
452,544,751,1025,523
447,544,741,1031,524
451,537,749,1031,521
447,537,743,1025,522
445,536,745,1028,524
447,540,743,1029,521
449,541,746,1023,530
443,539,742,1038,517
447,538,741,1034,525
447,540,745,1033,521
453,542,739,1029,526
449,537,744,1031,517
451,540,740,1030,522
453,545,743,1031,528
446,543,748,1024,524
445,539,738,1027,522
446,540,739,1035,522
446,538,743,1036,523
451,542,745,1023,519
442,537,740,1031,524
448,537,749,1030,525
450,539,747,1031,526
447,542,749,1031,526
445,537,743,1031,522
448,538,736,1019,513
445,541,740,1020,523
447,538,740,1027,521
451,540,742,1034,522
452,544,742,1024,524
449,539,740,1027,526
446,538,736,1021,521
450,535,737,1029,521
449,540,740,1023,523
444,541,740,1017,518
443,538,745,1021,520
455,541,739,1024,521
445,534,737,1025,517
450,542,740,1027,524
446,538,736,1025,521
447,535,744,1026,520
446,536,738,1022,521
449,533,741,1016,517
450,535,740,1026,520
445,538,732,1026,522
443,538,738,1021,525
447,538,735,1020,523
448,537,735,1030,524
447,540,739,1018,517
442,537,739,1022,522
451,539,741,1025,523
449,537,740,1024,525
447,546,738,1023,522
446,538,740,1020,520
446,539,739,1022,520
447,541,741,1020,520
448,543,736,1020,522
447,537,731,1024,522
449,532,736,1022,524
443,538,742,1025,522
441,533,740,1022,519
445,537,742,1023,523
447,535,736,1024,523
447,538,738,1024,521
447,540,735,1021,521
448,535,740,1022,524
446,538,736,1027,523
446,539,734,1020,519
442,540,736,1018,524
444,531,737,1015,522
449,540,738,1020,526
447,538,730,1020,524
445,541,739,1016,519
451,534,741,1018,522
446,538,738,1020,522
441,539,740,1018,520
443,531,740,1022,524
437,538,741,1019,519
446,539,744,1022,525
444,535,735,1023,522
444,533,736,1020,523
446,540,732,1021,519
446,538,739,1016,523
448,541,735,1016,520
446,539,736,1018,521
451,537,735,1022,517
449,537,735,1020,523
444,533,737,1020,523
445,540,738,1016,521
449,541,738,1024,528
446,540,735,1024,523
446,541,732,1022,519
443,537,738,1021,519
437,536,737,1016,527
440,539,729,1026,522
445,535,737,1021,522
446,536,734,1017,523
449,537,739,1018,523
448,541,736,1016,521
451,535,733,1025,526
445,538,729,1014,523
442,541,737,1018,519
445,541,738,1018,520
439,540,738,1018,517
446,537,734,1014,521
447,544,737,1015,523
445,535,737,1018,523
446,538,736,1017,535
448,535,736,1020,520
445,534,737,1017,524
441,536,735,1020,520
450,539,736,1024,522
445,535,736,1023,525
449,538,740,1020,521
446,540,734,1019,523
448,539,736,1015,519
447,537,735,1017,521
442,538,736,1016,516
445,538,736,1012,517
444,540,737,1023,523
444,539,732,1025,526
444,537,735,1017,516
450,539,736,1018,517
448,541,732,1016,522
446,538,732,1020,518
449,541,740,1022,517
454,541,738,1017,519
449,541,735,1017,520
440,542,740,1019,523
444,541,737,1023,525
441,539,740,1018,520
447,539,733,1016,513
451,537,734,1014,523
443,532,734,1017,522
446,541,735,1017,520
451,541,733,1008,516
445,543,738,1014,521
453,537,732,1011,522
448,539,736,1014,522
447,543,741,1015,523
446,537,738,1024,521
444,543,743,1020,516
449,540,739,1014,518
448,540,739,1010,519
450,547,735,1015,522
453,544,740,1019,520
448,543,730,1018,524
447,543,738,1019,519
450,540,743,1013,514
451,539,738,1013,517
447,545,739,1028,527
452,547,740,1012,520
451,546,748,1011,515
454,544,745,1019,523
452,547,746,1026,521
456,550,744,1017,519
461,549,752,1029,527
454,551,744,1022,524
453,551,744,1023,522
460,550,747,1030,518
453,551,746,1032,523
457,548,749,1024,510
453,549,740,1020,522
454,547,750,1027,519
457,549,743,1027,521
455,545,740,1021,523
456,540,743,1013,514
454,542,744,1019,518
454,547,746,1020,522
449,548,745,1010,521
449,544,744,1022,523
451,545,744,1023,522
453,547,741,1021,521
450,548,744,1019,524
452,552,744,1018,519
460,553,745,1019,522
454,550,740,1023,517
446,554,745,1026,524
454,543,744,1014,517
449,543,743,1020,523
451,545,740,1021,517
448,542,740,1018,520
456,545,735,1028,523
454,548,733,1015,522
449,550,739,1018,519
446,541,741,1020,520
452,546,734,1019,520
450,546,740,1021,522
458,548,738,1014,521
448,546,740,1015,520
457,545,741,1020,521
454,547,735,1018,518
456,548,743,1016,518
455,549,745,1020,521
455,552,740,1017,522
456,554,746,1024,519
456,551,744,1026,519
456,551,745,1026,524
458,551,744,1025,519
452,553,742,1013,515
454,551,739,1024,517
455,547,743,1021,524
452,548,740,1024,519
451,550,743,1017,521
451,546,743,1027,522
450,548,742,1018,524
453,545,734,1014,525
448,552,746,1022,526
448,549,743,1017,524
452,552,742,1019,521
451,546,746,1022,523
452,546,744,1017,521
455,551,745,1020,520
453,559,745,1025,520
454,548,745,1028,519
457,550,751,1022,522
455,560,750,1024,522
462,567,759,1026,522
463,564,755,1034,522
472,569,757,1030,519
471,567,762,1037,525
472,581,769,1041,525
478,586,766,1037,522
476,581,769,1043,522
483,585,774,1039,519
481,588,775,1044,523
481,591,777,1049,521
483,591,777,1041,522
482,601,787,1051,526
488,595,781,1050,524
487,601,784,1054,523
481,597,778,1052,525
482,597,778,1046,523
485,585,778,1053,521
477,592,779,1042,525
477,586,775,1047,518
469,573,770,1047,522
466,572,764,1042,520
465,568,758,1035,524
464,567,760,1034,521
463,567,756,1039,518
461,564,761,1038,524
455,564,752,1035,524
457,558,752,1031,521
459,558,752,1029,520
456,555,751,1038,519
460,565,753,1035,525
457,557,751,1036,522
455,552,746,1036,526
456,558,750,1042,523
455,554,753,1044,523
454,554,757,1044,523
461,556,752,1047,526
457,560,747,1049,524
457,563,751,1051,523
462,557,757,1050,521
459,558,753,1050,524
455,567,761,1060,528
461,563,758,1045,521
462,562,759,1059,524
463,559,763,1055,524
455,565,769,1058,523
468,568,763,1052,527
462,569,764,1057,529
471,573,765,1065,524
476,576,773,1062,527
482,595,779,1077,532
495,611,796,1088,527
520,629,811,1109,527
543,661,837,1123,527
572,695,868,1148,530
599,718,886,1162,535
624,757,912,1187,534
639,766,938,1195,538
663,793,946,1211,534
671,798,950,1216,538
672,804,943,1223,535
682,802,953,1231,537
683,809,952,1231,537
682,807,967,1220,537
674,804,956,1226,537
679,809,954,1224,537
676,805,957,1223,533
672,801,954,1216,536
668,807,955,1215,532
671,801,955,1216,532
664,793,950,1210,541
673,792,959,1224,536
673,796,953,1217,535
663,788,957,1214,534
662,791,950,1220,535
662,793,958,1229,535
658,777,953,1214,538
645,775,942,1209,541
637,765,934,1212,535
619,748,928,1213,535
598,731,906,1196,535
586,708,893,1188,542
574,690,887,1185,537
565,679,875,1173,533
554,674,867,1168,536
546,665,857,1160,535
555,666,859,1160,535
545,669,860,1164,533
553,672,868,1174,536
558,678,871,1168,531
577,692,885,1169,539
589,704,895,1182,532
595,716,906,1193,531
607,721,909,1203,539
613,733,913,1202,533
620,740,921,1205,541
622,747,925,1210,539
622,740,931,1209,534
622,745,928,1215,534
627,749,935,1220,539
631,757,936,1220,541
635,766,946,1224,539
639,762,947,1231,535
646,774,953,1230,536
660,783,967,1229,537
680,806,975,1245,538
686,830,995,1262,549
728,862,1025,1287,540
773,911,1067,1305,545
838,987,1125,1353,544
917,1072,1195,1394,548
1008,1170,1268,1460,546
1081,1251,1331,1507,552
1147,1335,1398,1563,563
1198,1409,1448,1595,561
1231,1461,1495,1624,566
1270,1524,1559,1685,568
1305,1611,1637,1744,573
1341,1725,1739,1823,580
1382,1849,1847,1924,590
1430,1987,1976,2023,594
1482,2123,2094,2129,596
1535,2236,2200,2208,604
1581,2337,2289,2281,613
1604,2396,2351,2335,615
1628,2461,2393,2383,617
1642,2493,2439,2400,621
1662,2541,2477,2447,623
1657,2537,2485,2445,622
1662,2566,2486,2456,623
1667,2575,2512,2465,627
1664,2591,2525,2474,623
1661,2589,2514,2473,629
1655,2588,2517,2474,620
1629,2558,2498,2470,624
1571,2526,2470,2439,626
1520,2464,2427,2402,623
1441,2380,2354,2351,614
1352,2292,2299,2309,610
1280,2204,2223,2244,606
1214,2125,2147,2199,602
1162,2075,2106,2159,597
1114,2010,2061,2129,605
1092,1994,2057,2113,591
1076,1988,2057,2111,600
1076,2000,2056,2128,592
1070,2017,2067,2137,602
1073,2026,2084,2143,600
1078,2022,2085,2130,602
1101,2009,2067,2126,597
1103,1971,2020,2091,592
1119,1921,1975,2038,595
1129,1869,1911,1991,587
1142,1823,1868,1947,591
1161,1789,1836,1921,580
1170,1764,1806,1899,583
1180,1755,1803,1885,576
1200,1755,1794,1886,579
1211,1772,1802,1893,578
1221,1783,1815,1906,581
1239,1789,1820,1908,579
1252,1827,1852,1929,587
1280,1848,1874,1943,583
1297,1872,1900,1966,590
1312,1891,1913,1984,587
1318,1926,1944,2016,593
1326,1957,1968,2039,592
1355,1986,1994,2067,594
1364,2025,2028,2067,603
1371,2043,2053,2105,599
1387,2072,2066,2123,595
1381,2089,2093,2138,603
1389,2104,2111,2147,597
1391,2123,2132,2185,603
1393,2151,2162,2206,603
1393,2163,2182,2226,604
1391,2176,2203,2234,613
1395,2173,2205,2253,610
1382,2143,2197,2251,608
1356,2120,2169,2233,607
1340,2067,2126,2215,607
1302,2001,2073,2178,603
1251,1912,2010,2126,600
1202,1836,1957,2080,600
1145,1766,1888,2047,596
1090,1695,1828,2003,587
1047,1638,1801,1972,591
1007,1600,1771,1951,593
972,1570,1742,1936,589
959,1558,1733,1937,589
941,1549,1732,1922,594
930,1525,1718,1921,591
917,1527,1714,1917,588
909,1505,1702,1918,588
895,1502,1694,1904,590
884,1471,1668,1891,590
865,1449,1656,1862,587
848,1425,1627,1850,581
842,1397,1600,1831,581
812,1348,1574,1810,582
792,1318,1537,1774,578
784,1279,1503,1741,579
759,1232,1462,1712,579
743,1199,1418,1686,572
729,1158,1398,1648,569
703,1111,1361,1617,569
695,1079,1334,1598,570
689,1051,1302,1573,563
670,1029,1280,1556,564
657,1005,1257,1530,560
655,982,1242,1530,563
652,970,1228,1495,561
643,963,1206,1481,559
634,945,1192,1460,558
628,931,1170,1446,551
623,915,1147,1419,550
617,902,1131,1389,545
612,876,1102,1364,551
606,870,1074,1336,542
597,845,1053,1322,543
591,831,1030,1292,542
585,821,1015,1275,540
582,806,997,1255,541
576,791,993,1250,536
575,786,963,1238,538
570,775,959,1232,534
569,765,953,1230,541
569,763,947,1210,533
565,756,944,1210,532
559,747,939,1204,538
558,739,927,1204,533
565,740,924,1200,535
558,731,919,1193,529
555,720,919,1197,532
553,716,908,1190,537
552,719,905,1182,533
544,711,903,1177,529
540,706,890,1186,533
540,699,891,1178,535
544,694,884,1178,534
537,700,882,1178,532
537,691,887,1166,531
538,694,878,1170,530
531,680,875,1160,525
532,687,875,1167,528
531,675,863,1161,530
526,674,868,1156,534
528,674,868,1160,533
528,675,862,1156,531
520,667,862,1157,531
516,661,858,1156,532
523,663,859,1147,532
518,653,852,1157,531
512,659,847,1151,529
512,655,853,1153,531
510,657,846,1150,533
509,653,851,1153,531
514,653,848,1147,531
512,647,854,1151,531
510,654,847,1152,533
510,650,855,1155,538
515,650,850,1153,537
508,650,846,1152,533
511,648,850,1155,531
508,649,851,1162,529
510,652,852,1158,527
506,645,857,1166,535
505,640,853,1171,534
506,646,863,1167,531
507,649,865,1176,534
508,647,865,1184,530
509,647,859,1182,534
508,648,863,1199,538
508,643,866,1195,537
510,640,870,1196,542
508,645,876,1209,535
508,647,873,1210,538
500,646,871,1212,536
506,643,870,1227,539
504,645,882,1233,544
506,642,883,1244,541
503,645,878,1250,539
501,641,882,1259,546
496,645,884,1271,544
496,637,892,1277,548
500,638,892,1294,550
499,636,892,1308,545
498,633,890,1313,552
492,638,895,1320,552
495,638,893,1332,556
489,637,903,1335,554
499,636,910,1349,555
500,637,911,1361,559
496,631,900,1381,557
492,641,912,1388,559
493,631,911,1394,563
494,639,912,1406,563
494,634,915,1408,565
500,631,910,1429,566
497,630,919,1430,565
491,631,922,1440,563
495,630,923,1449,568
495,632,919,1468,574
492,633,911,1474,573
500,633,933,1492,573
498,631,932,1500,570
501,638,933,1509,581
498,634,938,1529,587
500,633,930,1534,579
496,634,937,1555,579
500,635,948,1555,578
502,635,951,1569,587
500,636,954,1577,589
497,638,953,1585,591
503,639,949,1597,591
498,638,957,1610,583
499,633,963,1624,590
498,640,964,1643,593
499,644,971,1644,593
499,635,973,1663,593
496,641,976,1674,604
500,633,976,1694,600
501,643,967,1697,603
497,636,972,1705,603
498,641,978,1720,603
497,637,993,1740,608
495,641,992,1758,607
496,642,992,1758,613
495,641,997,1783,611
499,638,1000,1776,613
498,641,1012,1804,615
498,644,1013,1830,620
500,646,1027,1852,620
505,648,1041,1888,629
508,662,1064,1945,630
503,654,1078,2000,636
502,656,1104,2056,644
502,661,1103,2091,654
506,658,1103,2112,654
503,658,1091,2119,654
499,652,1092,2151,654
503,650,1091,2150,662
497,649,1082,2147,659
507,650,1079,2157,662
501,650,1076,2170,664
499,647,1061,2166,663
499,648,1056,2167,658
509,650,1038,2155,666
503,643,1031,2138,658
507,646,1019,2123,660
507,645,998,2105,663
512,645,998,2102,652
512,647,985,2098,666
513,646,981,2073,655
518,648,970,2050,655
523,652,968,2019,646
523,657,953,1963,642
529,656,953,1906,632
525,654,944,1835,626
524,646,942,1788,621
519,652,932,1759,612
514,652,931,1760,613
516,654,946,1779,613
513,658,944,1780,612
520,660,934,1707,614
517,651,924,1623,595
520,654,933,1654,602
539,689,1005,1863,627
698,945,1422,2847,747
887,1209,1641,2728,721
607,823,1117,1745,603
540,707,956,1445,571
518,663,905,1333,555
510,647,880,1269,545
503,636,876,1240,545
500,631,860,1229,542
500,621,857,1212,540
495,611,847,1214,545
493,612,841,1211,537
501,613,843,1220,540
508,621,839,1223,543
507,624,835,1206,537
492,606,832,1186,535
492,602,825,1173,540
475,587,824,1166,534
474,588,825,1168,535
481,597,837,1176,535
480,601,841,1184,538
483,602,839,1181,538
481,604,839,1168,536
490,597,827,1161,533
482,596,827,1160,539
489,598,826,1184,541
492,610,829,1195,535
495,614,842,1203,542
505,623,855,1217,539
509,626,856,1207,541
509,628,854,1197,537
499,617,845,1175,531
493,608,837,1163,536
485,601,832,1159,534
483,601,838,1135,530
480,605,834,1142,527
473,603,830,1138,533
475,598,818,1128,530
474,586,810,1115,524
472,581,793,1094,524
467,577,791,1094,528
465,573,788,1096,528
469,580,799,1103,527
467,583,810,1099,519
477,592,810,1110,527
475,604,815,1117,515
478,603,809,1116,526
472,596,807,1105,526
471,587,799,1105,528
466,576,788,1095,528
467,573,783,1098,525
464,567,776,1092,527
467,565,782,1095,534
468,561,784,1098,530
471,576,783,1095,524
475,581,796,1095,525
478,586,793,1104,530
478,591,806,1105,527
476,596,804,1106,525
472,584,811,1103,523
471,589,804,1111,524
470,579,810,1116,527
470,576,795,1106,528
460,581,795,1096,526
471,574,788,1095,526
472,575,791,1095,527
474,582,802,1100,527
481,584,804,1105,529
486,590,812,1115,531
480,589,808,1117,533
478,582,800,1111,529
473,582,800,1105,531
471,576,799,1098,527
466,573,791,1105,527
468,582,793,1104,533
469,583,801,1104,534
468,580,795,1095,532
465,583,795,1092,527
467,580,800,1095,532
467,576,797,1080,536
467,578,791,1086,532
472,577,793,1087,530
470,582,793,1089,534
465,576,795,1081,527
462,570,788,1082,532
461,574,791,1090,526
459,573,796,1096,528
461,576,800,1099,535
468,584,802,1115,530
466,590,811,1119,530
463,590,800,1121,529
465,584,801,1114,529
466,576,788,1101,534
460,572,790,1094,535
461,572,786,1091,530
459,564,780,1090,537
461,564,783,1095,529
462,570,786,1089,530
459,558,785,1105,532
461,566,785,1105,536
456,561,794,1123,535
459,566,795,1140,544
461,569,793,1158,539
459,568,796,1167,539
455,566,799,1175,543
459,569,812,1171,538
461,577,801,1150,539
460,568,800,1134,537
463,576,804,1130,538
468,580,809,1139,530
465,578,812,1172,542
469,589,823,1192,546
467,598,837,1219,541
471,606,845,1213,548
473,617,864,1219,539
469,632,874,1210,537
478,641,879,1201,537
479,637,883,1193,539
473,624,875,1183,537
468,612,874,1179,533
465,601,868,1174,537
472,598,872,1177,538
466,588,864,1169,540
460,583,881,1173,532
459,587,898,1175,536
458,590,928,1202,538
461,601,963,1230,545
463,606,1007,1256,546
462,615,1043,1284,551
465,621,1081,1306,555
458,624,1104,1326,557
458,623,1119,1341,555
464,614,1103,1325,556
469,622,1082,1315,551
461,612,1066,1294,552
464,615,1022,1262,547
468,604,985,1240,542
467,600,946,1211,540
466,597,916,1190,546
466,592,893,1178,541
466,584,875,1180,540
468,584,861,1172,539
458,580,845,1168,539
461,579,844,1155,543
456,576,841,1140,533
457,576,836,1126,538
455,575,841,1121,524
461,571,842,1117,530
458,582,846,1124,539
460,583,846,1129,537
463,581,850,1131,533
470,586,846,1135,543
471,581,845,1124,541
463,581,839,1119,545
461,582,832,1120,538
460,578,828,1121,540
459,574,832,1112,535
458,572,834,1120,541
463,575,834,1126,543
465,577,840,1134,537
468,579,847,1144,542
470,579,841,1141,551
468,573,846,1145,541
461,579,837,1148,544
466,573,831,1130,541
463,574,829,1123,538
461,575,824,1114,540
456,572,821,1111,539
461,569,823,1106,536
459,568,812,1108,540
448,565,818,1116,537
457,563,828,1126,538
453,562,842,1131,542
455,567,836,1126,548
463,562,840,1150,544
461,574,837,1123,540
472,580,831,1114,540
479,592,832,1112,543
486,595,828,1110,542
483,597,826,1109,544
482,593,834,1100,539
467,588,820,1110,544
465,577,825,1103,545
468,575,821,1109,552
462,570,818,1109,554
463,575,811,1088,555
466,573,798,1087,568
455,565,796,1074,573
457,559,787,1065,579
453,558,787,1067,592
456,550,795,1065,597
452,557,793,1077,601
452,555,799,1081,606
457,557,797,1080,618
459,560,795,1079,622
459,558,793,1066,623
458,552,784,1069,627
458,559,786,1058,645
463,563,777,1065,666
460,563,778,1065,695
455,557,791,1068,733
460,562,794,1082,772
459,567,811,1097,818
457,576,818,1101,850
458,578,822,1114,866
458,576,819,1116,866
466,579,823,1109,859
469,581,822,1102,852
473,583,816,1094,859
465,585,803,1090,844
478,585,808,1092,824
483,588,810,1084,794
485,598,817,1086,751
486,592,818,1093,714
485,588,809,1095,683
475,577,800,1084,654
466,567,798,1087,641
467,571,790,1077,630
458,569,787,1065,627
455,561,780,1059,614
451,557,778,1048,608
451,556,776,1055,597
453,558,765,1058,596
455,563,773,1062,584
460,566,782,1062,583
457,570,788,1076,578
461,578,787,1072,571
456,575,778,1071,567
460,569,785,1073,562
451,561,782,1069,560
455,556,779,1064,556
458,556,774,1054,560
458,546,769,1055,548
454,553,766,1049,546
456,556,767,1052,550
455,558,773,1046,549
451,558,768,1048,548
453,557,765,1055,548
457,554,775,1050,546
458,556,771,1056,544
456,557,775,1053,546
457,556,778,1059,542
452,563,776,1054,546
459,560,774,1052,548
460,556,783,1050,548
461,564,786,1058,542
463,560,783,1070,545
459,553,787,1076,552
450,558,794,1081,547
454,557,793,1082,552
450,556,789,1082,547
458,558,786,1084,550
454,549,784,1071,547
461,555,779,1059,540
452,553,773,1059,544
458,553,770,1066,542
454,547,765,1054,536
450,551,767,1052,539
451,558,759,1050,541
457,555,765,1050,536
452,552,766,1050,532
455,554,768,1047,538
452,554,763,1048,534
450,553,759,1040,532
449,547,758,1032,530
453,552,757,1042,527
451,553,762,1038,531
452,556,756,1045,533
455,553,764,1042,536
453,556,767,1048,533
459,562,769,1057,534
461,561,770,1059,531
460,565,764,1069,541
457,562,766,1051,530
457,553,765,1055,532
450,553,762,1048,531
451,557,762,1048,530
455,556,758,1042,528
455,555,761,1038,527
450,552,757,1033,532
446,552,760,1039,530
458,550,759,1048,535
454,550,756,1041,536
457,553,753,1042,531
454,549,748,1031,528
456,552,760,1037,525
453,554,765,1032,526
459,564,759,1043,527
459,564,757,1044,527
460,563,761,1048,533
458,563,773,1042,530
457,555,769,1042,527
456,555,766,1040,530
458,556,761,1049,530
459,549,766,1044,535
453,553,764,1055,538
451,559,763,1053,532
458,559,770,1047,536
462,561,766,1052,536
464,562,774,1063,541
462,563,768,1048,539
467,575,772,1055,538
464,571,779,1056,535
462,579,784,1052,542
466,579,783,1059,529
464,575,781,1059,538
467,577,778,1056,526
467,575,773,1048,536
470,570,766,1050,530
464,562,773,1046,537
454,559,769,1053,531
462,556,761,1041,535
465,563,761,1042,533
462,567,769,1044,535
470,569,771,1043,528
467,566,769,1054,530
469,570,769,1052,531
468,565,767,1056,530
460,559,764,1049,526
459,561,762,1044,528
459,557,761,1038,529
454,556,759,1040,530
461,557,758,1044,530
469,559,755,1036,528
467,563,761,1035,525
474,568,759,1032,526
471,572,758,1041,529
468,572,768,1043,526
467,566,766,1040,525
472,574,771,1042,527
468,567,769,1035,522
464,568,768,1041,529
461,565,770,1040,523
464,556,762,1035,524
461,566,769,1036,525
462,562,767,1029,525
461,568,766,1037,524
463,558,767,1034,530
459,554,756,1034,527
453,552,759,1026,530
453,551,757,1037,525
453,554,757,1038,531
455,556,761,1041,534
455,561,766,1041,531
456,559,759,1041,534
455,560,760,1041,531
458,557,763,1041,532
457,556,762,1046,531
458,559,767,1039,525
467,564,773,1050,529
462,564,770,1052,532
466,565,775,1052,527
466,566,775,1055,532
464,564,771,1052,533
461,564,765,1041,530
465,562,765,1034,524
455,555,757,1043,534
459,548,765,1039,530
458,558,770,1036,533
460,563,766,1048,533
463,571,769,1045,530
465,571,776,1049,532
464,568,774,1050,531
457,570,777,1053,530
457,562,772,1048,527
457,555,773,1051,527
457,555,790,1058,529
461,557,803,1065,531
461,567,806,1073,535
462,569,818,1086,523
457,574,816,1085,534
477,573,816,1080,533
469,577,815,1072,532
467,567,794,1060,529
460,560,780,1048,529
461,558,779,1047,530
461,558,768,1041,531
461,554,765,1042,527
463,556,774,1042,525
458,564,771,1037,531
458,561,772,1046,522
460,561,771,1037,525
460,561,773,1045,518
459,561,770,1033,523
459,560,768,1037,527
453,556,774,1040,529
456,556,764,1039,528
449,558,767,1032,527
452,553,773,1049,525
453,552,765,1029,532
456,557,763,1043,523
449,550,764,1034,533
454,552,762,1031,523
456,558,765,1036,528
456,555,770,1039,531
460,562,768,1034,529
455,560,767,1035,526
460,562,765,1045,529
453,559,773,1041,533
454,567,770,1043,535
456,558,771,1041,527
454,559,765,1044,538
456,554,762,1048,554
458,557,769,1039,576
454,563,767,1046,621
454,563,771,1046,687
457,559,772,1048,790
457,557,775,1047,916
455,559,779,1054,1050
463,560,783,1058,1159
461,561,786,1060,1222
459,557,790,1065,1223
461,560,795,1069,1183
462,567,796,1068,1098
456,563,805,1071,982
461,558,822,1076,864
455,566,819,1090,763
459,560,823,1086,687
455,563,826,1084,632
454,559,811,1082,601
452,554,802,1060,578
455,553,790,1051,564
449,552,782,1045,550
455,556,779,1042,547
456,560,771,1045,539
459,555,762,1043,543
456,556,766,1030,539
452,556,766,1033,539
448,547,754,1034,532
450,543,756,1035,536
448,550,758,1040,537
448,543,765,1043,537
448,547,761,1032,534
450,548,761,1041,534
452,547,753,1039,531
455,549,762,1031,535
455,555,754,1028,531
453,550,765,1027,529
454,557,767,1036,533
463,560,770,1039,536
458,560,769,1037,537
458,566,770,1049,538
456,562,768,1040,533
463,556,758,1044,541
455,553,759,1031,548
456,557,763,1029,554
456,553,756,1033,557
456,555,759,1036,565
456,557,758,1033,581
465,560,766,1041,603
459,565,765,1045,659
456,558,777,1046,736
455,559,779,1060,840
459,561,795,1071,969
457,565,806,1094,1084
452,569,840,1137,1176
457,573,893,1209,1217
459,584,983,1325,1201
463,603,1110,1479,1141
475,615,1236,1646,1058
475,626,1312,1756,957
475,630,1325,1771,842
474,613,1235,1658,747
471,610,1114,1481,668
463,597,981,1319,619
459,578,887,1210,583
462,573,845,1131,568
463,568,820,1100,554
461,569,795,1074,539
455,568,785,1058,539
459,562,774,1057,538
454,559,768,1041,534
453,553,762,1045,528
448,553,762,1030,534
453,545,760,1041,526
450,553,758,1044,535
453,553,766,1049,537
458,554,764,1049,531
448,562,764,1061,536
453,563,763,1063,533
451,557,758,1069,537
457,550,759,1071,535
449,549,762,1063,536
454,549,764,1061,530
455,552,762,1054,535
455,554,762,1048,532
454,556,773,1046,532
458,569,774,1053,532
460,576,784,1056,532
459,578,787,1066,533
463,582,793,1073,532
455,592,791,1072,537
457,581,798,1072,541
457,578,789,1073,533
457,571,781,1070,534
454,568,775,1067,527
452,563,773,1068,531
453,556,779,1076,532
455,560,802,1094,539
456,568,838,1152,537
458,581,895,1214,549
460,591,980,1337,553
468,600,1104,1493,571
477,618,1215,1639,581
480,624,1276,1714,589
475,620,1254,1695,592
464,603,1162,1569,574
465,592,1041,1400,563
460,575,929,1257,554
464,571,867,1161,539
457,568,819,1119,537
461,571,803,1095,534
462,566,788,1070,536
461,570,787,1069,530
464,569,784,1063,527
465,569,775,1061,535
463,564,765,1063,536
461,555,768,1061,527
452,550,761,1071,535
451,557,764,1094,534
452,545,771,1159,542
451,555,777,1270,557
461,558,794,1403,582
458,567,808,1589,609
463,571,814,1766,633
465,576,821,1859,643
468,596,836,1865,645
465,606,844,1736,625
474,611,843,1586,601
472,616,839,1421,577
468,616,829,1315,567
471,621,831,1241,550
472,656,865,1216,551
484,715,913,1244,550
507,829,1028,1324,552
536,990,1180,1426,557
567,1159,1333,1557,563
581,1280,1448,1638,569
591,1300,1460,1666,574
574,1192,1376,1578,574
540,1034,1225,1449,565
513,865,1083,1333,552
488,740,978,1255,545
472,667,944,1255,550
470,632,977,1315,560
468,622,1066,1431,561
469,619,1152,1566,578
475,625,1234,1677,584
477,627,1250,1700,586
473,620,1185,1614,579
469,603,1079,1476,565
473,593,967,1325,556
469,581,883,1220,550
469,575,839,1155,537
469,578,817,1119,536
466,580,800,1092,530
468,569,785,1077,528
471,564,781,1078,531
461,562,774,1061,529
461,559,764,1057,526
455,550,768,1054,530
453,554,763,1060,527
454,545,764,1076,529
454,546,775,1122,535
452,557,783,1194,543
453,562,807,1305,561
461,565,830,1465,590
